11,592,Efrén Alonso,Macías,Enrríquez,MC,efren.macias@congresojal.gob.mx,3336791505,"1605, 5505",Sala J1,Distrito 12,Tlajomulco de Zúñiga,https://transparencia.congresojal.gob.mx/repositorio/fotos_diputados/EFREN_ALONSO_MACIAS_ENRRIQUEZ.jpg,https://www.congresojal.gob.mx/diputados/perfil?id_dip=592
12,577,Esteban ,Estrada ,Ramírez,MC,esteban.estrada@congresojal.gob.mx,3336791509,"1673, 5509",Sala T2,Distrito 10,Zapopan,https://transparencia.congresojal.gob.mx/repositorio/fotos_diputados/ESTEBAN__ESTRADA__RAMIREZ.jpg,https://www.congresojal.gob.mx/diputados/perfil?id_dip=577
13,458,Francisco Javier,Romo,Mendoza,MC,javier.romo@congresojal.gob.mx,3336791513,1613,Sala D,Distrito 08,Guadalajara,https://transparencia.congresojal.gob.mx/repositorio/fotos_diputados/FRANCISCO_JAVIER_ROMO_MENDOZA.jpg,https://www.congresojal.gob.mx/diputados/perfil?id_dip=458
14,476,Guadalupe Berenice,Díaz,Hernández,MORENA,berenice.diaz@congresojal.gob.mx,3336791500,"1609, 1009",Sala B3,Distrito 11,Guadalajara,https://transparencia.congresojal.gob.mx/repositorio/fotos_diputados/GUADALUPE_BERENICE_DRAZ_HERNRNDEZ.jpg,https://www.congresojal.gob.mx/diputados/perfil?id_dip=476
15,472,Irma Verónica,González ,Orozco ,PAN,irma.gonzalez@congresojal.gob.mx,3336791539,"1672, 5539",Sala U1,Plurinominal,,https://transparencia.congresojal.gob.mx/repositorio/fotos_diputados/IRMA_VERONICA_GONZALEZ__OROZCO_.jpg,https://www.congresojal.gob.mx/diputados/perfil?id_dip=472
16,460,J. Jesús ,Cabrera ,Jiménez,MC,jesus.cabrera@congresojal.gob.mx,3336791566,"1682, 1666",Coordinación MC,Distrito 17,"Acatlán de Juárez, Atemajac de Brizuela, Cocula, Concepción de Buenos Aires, Chapala, Ixtlahuacán de los Membrillos, Jocotepec, La Manzanilla de la Paz, Mazamitla, San Martín Hidalgo, Teocuitatlán de Corona, Tizapán el Alto, Tuxcueca, Villa Corona, Zacoalco de Torres",https://transparencia.congresojal.gob.mx/repositorio/fotos_diputados/J._JESUS__CABRERA__JIMENEZ.jpg,https://www.congresojal.gob.mx/diputados/perfil?id_dip=460
17,445,J. Jesús ,Zúñiga ,Mendoza ,PRI,jesus.zuniga@congresojal.gob.mx,3336791512,"1611, 5512",Sala C1,Plurinominal,,https://transparencia.congresojal.gob.mx/repositorio/fotos_diputados/J._JESUS__ZUNIGA__MENDOZA_.jpg,https://www.congresojal.gob.mx/diputados/perfil?id_dip=445
18,584,Jazmín ,Jetzabel,González,PAN,jazmin.gonzalez@congresojal.gob.mx,3336791500,"1614, 1514",Sala E1,Distrito 18,"Ameca, Atengo, Autlán de Navarro, Ayutla, Casimiro Castillo, Cihuatlán, Cuautitlán de García Barragán, Cuautla, Chiquilistlán, Ejutla, El Grullo, La Huerta, Juchitlán, El Limón, Villa Purificación, Tecolotlán, Tenamaxtlán, Tolimán, Tonaya, Tuxcacuesco, Unión de Tula, Zapotitlán de Vadillo",https://transparencia.congresojal.gob.mx/repositorio/fotos_diputados/JAZMRN__JETZABEL_GONZRLEZ.jpg,https://www.congresojal.gob.mx/diputados/perfil?id_dip=584
19,452,Jonadab ,Martínez ,García ,MC,jonadab.martinez@congresojal.gob.mx,3336791532,"1575, 5532",Sala O1,Plurinominal,,https://transparencia.congresojal.gob.mx/repositorio/fotos_diputados/JONADAB__MARTINEZ__GARCIA_.jpg,https://www.congresojal.gob.mx/diputados/perfil?id_dip=452
20,440,Jorge Eduardo ,González ,Arana ,PAN,jorge.gonzalez@congresojal.gob.mx,3336791500,"1504, 1503",Coordinación PAN,Distrito 03,"Arandas, Jalostotitlán, Jesús María, Mexticacán, San Miguel el Alto, Teocaltiche, Tepatitlán de Morelos, Valle de Guadalupe, Villa Hidalgo, Cañadas de Obregón, Yahualica de González Gallo, San Ignacio Cerro Gordo",https://transparencia.congresojal.gob.mx/repositorio/fotos_diputados/JORGE_EDUARDO__GONZALEZ__ARANA_.jpg,https://www.congresojal.gob.mx/diputados/perfil?id_dip=440
21,172,José Hernán,Cortés,Berumen,PAN,hernan.cortes@congresojal.gob.mx,3336791525,1525,Sala P,Plurinominal,,https://transparencia.congresojal.gob.mx/repositorio/fotos_diputados/JOSE_HERNAN_CORTES_BERUMEN.jpg,https://www.congresojal.gob.mx/diputados/perfil?id_dip=172
22,582,José Tomás,Figueroa,Padilla,PRI,tomas.figueroa@congresojal.gob.mx,3336791500,"1531, 1631",Sala N2,Plurinominal,,https://transparencia.congresojal.gob.mx/repositorio/fotos_diputados/JOSR_TOMAS_FIGUEROA_PADILLA.jpg,https://www.congresojal.gob.mx/diputados/perfil?id_dip=582
23,576,Juan Carlos,Galindo,Plazola,MC,juancarlos.galindo@congresojal.gob.mx,3336791511,"1511, 1608",Sala C2,Distrito 05,"Atenguillo, Cabo Corrientes, Guachinango, Mascota, Mixtlán, Puerto Vallarta, San Sebastián del Oeste, Talpa de Allende, Tomatlán",https://transparencia.congresojal.gob.mx/repositorio/fotos_diputados/JUAN_CARLOS_GALINDO_PLAZOLA.jpg,https://www.congresojal.gob.mx/diputados/perfil?id_dip=576
24,583,Juan Manuel,Mendoza,Delgado,MC,juan.mendoza@congresojal.gob.mx,3336791500,"1536, 1636",Sala E2,Distrito 02,"Encarnación de Díaz, Lagos de Moreno, Ojuelos de Jalisco, San Diego de Alejandría, San Juan de los Lagos, San Julián, Unión de San Antonio",https://transparencia.congresojal.gob.mx/repositorio/fotos_diputados/JUAN_MANUEL_MENDOZA_DELGADO.jpg,https://www.congresojal.gob.mx/diputados/perfil?id_dip=583
25,525,Ma Victoria,Mercado,Sánchez,MC,victoria.mercado@congresojal.gob.mx,36791542,1570,Sala U2,Plurinominal,,https://transparencia.congresojal.gob.mx/repositorio/fotos_diputados/MA_VICTORIA_MERCADO_SANCHEZ.jpg,https://www.congresojal.gob.mx/diputados/perfil?id_dip=525
26,461,Ma. Elizabeth ,Alcaraz ,Virgen ,MC,elizabeth.alcaraz@congresojal.gob.mx,3336791533,"1632, 5533",Sala O2,Distrito 19,"Amacueca, Atoyac, Zapotlán El Grande (Ciudad Guzmán), Jilotlán de los Dolores, Santa María del Oro, Pihuamo, Quitupan, Gómez Farías, Sayula, Tamazula de Gordiano, Tapalpa, Tecalitlán, Techaluta de Montenegro, Tonila, Tuxpan, Valle de Juárez, San Gabriel, Zapotiltic",https://transparencia.congresojal.gob.mx/repositorio/fotos_diputados/MA._ELIZABETH__ALCARAZ__VIRGEN_.jpg,https://www.congresojal.gob.mx/diputados/perfil?id_dip=461
27,591,Manuel,Alfaro,Lozano,PRI,manuel.alfaro@congresojal.gob.mx,3336791500,"1627, 1527",Coordinación PRI,Plurinominal,,https://transparencia.congresojal.gob.mx/repositorio/fotos_diputados/MANUEL_ALFARO_LOZANO.jpg,https://www.congresojal.gob.mx/diputados/perfil?id_dip=591
28,593,Manuel,Jara,Rodríguez,PAN,manuel.jara@congresojal.gob.mx,3336791500,5571,Sala X,Distrito 01,"Ahualulco de Mercado, Amatitán, San Juanito de Escobedo, El Arenal, Bolaños, Colotlán, Cuquío, Chimaltitán, Etzatlán, Hostotipaquillo, Huejúcar, Huejuquilla el Alto, Ixtlahuacán del Río, Magdalena, Mezquitic, San Cristóbal de la Barranca, San Marcos, San Martín de Bolaños, Santa María de los Ángeles, Tala, Tequila, Teuchitlán, Totatiche, Villa Guerrero",https://transparencia.congresojal.gob.mx/repositorio/fotos_diputados/MANUEL_JARA_RODRIGUEZ.jpg,https://www.congresojal.gob.mx/diputados/perfil?id_dip=593
29,585,Marcela Guadalupe,Aceves,Sánchez,MC,marcela.aceves@congresojal.gob.mx,3336791540,"1640, 5540",Sala R,Plurinominal,,https://transparencia.congresojal.gob.mx/repositorio/fotos_diputados/MARCELA_GUADALUPE_ACEVES_SANCHEZ.jpg,https://www.congresojal.gob.mx/diputados/perfil?id_dip=585
30,580,María Elizabeth,Cruz,Macías,PAN,elizabeth.cruz@congresojal.gob.mx,3336791500,"1607, 1507",Sala A1,Plurinominal,,https://transparencia.congresojal.gob.mx/repositorio/fotos_diputados/MARRA_ELIZABETH_CRUZ_MACRAS.jpg,https://www.congresojal.gob.mx/diputados/perfil?id_dip=580
31,450,María Esther ,López ,Chávez ,MORENA,mariaesther.lopez@congresojal.gob.mx,3336791530,1530,Sala N1,Distrito 07,Tonalá,https://transparencia.congresojal.gob.mx/repositorio/fotos_diputados/MARIA_ESTHER__LOPEZ__CHAVEZ_.jpg,https://www.congresojal.gob.mx/diputados/perfil?id_dip=450
32,581,María Verónica,Martínez,Espinoza,PRI,maria.martinez@congresojal.gob.mx,3336791538,"1638, 5538",Sala CH,Plurinominal,,https://transparencia.congresojal.gob.mx/repositorio/fotos_diputados/MARIA_VERONICA_MARTINEZ_ESPINOZA.jpg,https://www.congresojal.gob.mx/diputados/perfil?id_dip=581
33,457,Miriam Berenice ,Rivera ,Rodríguez ,MC,miriam.rivera@congresojal.gob.mx,3336791537,"1637, 5537",Sala S,Distrito 09,Guadalajara,https://transparencia.congresojal.gob.mx/repositorio/fotos_diputados/MIRIAM_BERENICE__RIVERA__RODRIGUEZ_.jpg,https://www.congresojal.gob.mx/diputados/perfil?id_dip=457
34,463,Norma,Valenzuela ,Álvarez ,MORENA,norma.valenzuela@congresojal.gob.mx,3336791534,1543,Coordinación MORENA,Plurinominal,,https://transparencia.congresojal.gob.mx/repositorio/fotos_diputados/NORMA_VALENZUELA__ALVAREZ_.jpg,https://www.congresojal.gob.mx/diputados/perfil?id_dip=463
35,477,Rosa Alba ,Ramírez,Nachis  ,MC,rosa.nachis@congresojal.gob.mx,36791506,"1577, 1606",Sala J2,Plurinominal,,https://transparencia.congresojal.gob.mx/repositorio/fotos_diputados/ROSA_ALBA__RAMIREZ_NACHIS__.jpg,https://www.congresojal.gob.mx/diputados/perfil?id_dip=477
